CLIENTNUM,Attrition_Numeric,Customer_Age,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Avg_Utilization_Ratio,Gender_Encoded,Dependent_count,Education_Level_sorted,Marital_Status_sorted,Income_Category_sorted,Card_Category_sorted,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,naive_cls1,naive_cls2
768886533,0,37,4940.0,1199,3246,0.243,0,3,Graduate,Married,60K - 80K,Blue,31,3,1,3,9.6126e-05,0.9999
711551958,1,59,1438.3,0,844,0.0,0,2,Post-Graduate,Married,60K - 80K,Blue,46,3,3,3,0.9972,0.00280059
807584958,1,50,21096.0,0,1882,0.0,0,3,Uneducated,Married,60K - 80K,Blue,45,2,2,5,0.99834,0.00165524
714544908,1,56,6224.0,0,8979,0.0,0,4,Graduate,Divorced,60K - 80K,Blue,36,6,3,3,0.99686,0.00314112
767348733,0,56,4058.0,793,15865,0.195,0,2,Graduate,Married,60K - 80K,Blue,49,3,3,3,0.00033251,0.99967
714131058,0,30,18513.0,2517,1567,0.136,0,0,Graduate,Married,60K - 80K,Blue,36,3,5,3,0.00028995,0.99971
716165508,0,51,3559.0,0,4498,0.0,0,2,Uneducated,Married,60K - 80K,Blue,40,2,1,1,3.415e-05,0.99997
715057383,0,40,17126.0,1201,3891,0.07,0,3,Graduate,Married,60K - 80K,Blue,31,6,3,4,0.00053543,0.99946
768212583,0,49,15377.0,1516,1848,0.099,0,2,Graduate,Married,60K - 80K,Blue,43,4,4,4,0.00062355,0.99938
717551358,0,63,3556.0,2517,2279,0.708,0,0,Graduate,Married,60K - 80K,Blue,55,4,1,4,0.00013562,0.99986
719360583,0,53,3380.0,1701,1502,0.503,0,1,Graduate,Married,60K - 80K,Blue,45,6,2,2,0.00010684,0.99989
714746358,0,38,4646.0,1680,2234,0.362,0,3,Graduate,Married,60K - 80K,Blue,28,3,1,2,6.282e-05,0.99994
708707808,0,57,2480.0,1584,3438,0.639,0,2,Graduate,Married,60K - 80K,Blue,45,4,1,2,5.5077e-05,0.99994
709701558,0,47,21331.0,1251,1460,0.059,0,3,Graduate,Married,60K - 80K,Blue,36,2,1,2,5.7151e-05,0.99994
716816583,0,61,15483.0,2148,14463,0.139,0,0,Graduate,Married,60K - 80K,Blue,48,1,3,1,9.3087e-05,0.99991
771772083,0,48,13197.0,0,8424,0.0,0,4,Graduate,Married,60K - 80K,Blue,37,2,1,1,3.4833e-05,0.99997
715423233,0,46,1790.0,796,3539,0.445,0,5,Graduate,Married,60K - 80K,Blue,35,3,3,3,0.00034328,0.99966
718708908,0,58,5967.0,2350,1426,0.394,0,4,Graduate,Married,60K - 80K,Blue,36,6,2,4,0.00034248,0.99966
719836083,0,54,7477.0,1752,1543,0.234,0,4,Graduate,Married,60K - 80K,Blue,36,3,4,2,0.00025058,0.99975
712021233,1,33,23399.0,0,9356,0.0,0,3,Graduate,Married,60K - 80K,Blue,15,5,1,3,0.98971,0.01029
717953283,0,41,2122.0,1189,4379,0.56,0,3,Graduate,Married,60K - 80K,Blue,31,5,2,2,0.00011811,0.99988
778699908,1,43,14447.0,0,915,0.0,0,2,Uneducated,Married,60K - 80K,Blue,24,2,3,3,0.9968,0.00320374
779484408,0,37,18951.0,1243,2874,0.066,0,1,Graduate,Married,60K - 80K,Blue,19,6,1,2,5.6825e-05,0.99994
718875483,0,50,17404.0,1745,4491,0.1,0,1,College,Married,60K - 80K,Blue,40,4,2,4,0.00029801,0.9997
720659283,0,37,3351.0,1847,1910,0.551,0,5,Graduate,Married,60K - 80K,Blue,31,5,3,4,0.00053272,0.99947
708799983,1,40,18386.0,890,1698,0.048,0,1,Post-Graduate,Married,60K - 80K,Blue,36,6,3,4,0.99825,0.00175068
769756983,0,38,7709.0,2227,2520,0.289,0,3,Graduate,Married,60K - 80K,Blue,32,3,1,2,5.7151e-05,0.99994
720962208,1,42,2476.0,2250,4659,0.909,0,2,Post-Graduate,Married,60K - 80K,Blue,27,2,2,2,0.99259,0.00741
798114033,0,46,7949.0,1514,3355,0.19,0,2,Graduate,Married,60K - 80K,Blue,40,4,2,4,0.00032656,0.99967
779223858,0,37,6369.0,0,2675,0.0,0,2,Graduate,Married,60K - 80K,Blue,27,4,2,4,0.00032656,0.99967
718920708,0,35,5240.0,1451,2172,0.277,0,3,Graduate,Married,60K - 80K,Blue,25,5,3,3,0.0003139,0.99969
788621658,0,54,1909.0,1753,1457,0.918,0,1,College,Married,60K - 80K,Blue,37,6,3,2,0.00016415,0.99984
711589758,0,42,4162.0,1641,3967,0.394,0,5,High School,Married,60K - 80K,Blue,32,1,2,2,0.00011423,0.99989
718824783,0,50,2966.0,1433,1986,0.483,0,2,Graduate,Divorced,60K - 80K,Blue,41,6,1,3,0.00010183,0.9999
720185058,1,46,4267.0,0,1067,0.0,0,3,Graduate,Married,60K - 80K,Blue,36,2,3,4,0.99814,0.00186317
712198983,0,46,3258.0,0,3169,0.0,0,4,Graduate,Married,60K - 80K,Blue,36,3,3,3,0.00031726,0.99968
716149383,0,62,3674.0,895,1703,0.244,0,0,Graduate,Married,60K - 80K,Blue,36,6,3,3,0.0002596,0.99974
717308433,1,49,1960.0,0,2253,0.0,0,5,Uneducated,Married,60K - 80K,Blue,43,3,3,3,0.9969,0.00310348
797743233,0,45,5996.0,865,4542,0.144,0,3,Uneducated,Married,60K - 80K,Blue,39,3,2,3,0.00020424,0.9998
719248158,0,52,7261.0,1443,14533,0.199,0,2,High School,Divorced,60K - 80K,Blue,42,1,3,2,0.00017486,0.99983
719196858,0,50,6508.0,2276,4254,0.35,0,2,Graduate,Married,60K - 80K,Blue,39,4,1,4,0.00015804,0.99984
718025808,0,61,5852.0,1935,3689,0.331,0,0,High School,Divorced,60K - 80K,Blue,51,6,3,4,0.00043049,0.99957
716037708,0,50,9474.0,1021,3240,0.108,0,0,Uneducated,Divorced,60K - 80K,Blue,39,6,3,3,0.00026692,0.99973
710552733,1,42,4963.0,0,2335,0.0,0,5,Graduate,Married,60K - 80K,Blue,36,2,3,2,0.99513,0.00487428
715174983,0,40,2223.0,597,3331,0.269,0,3,Graduate,Married,60K - 80K,Blue,36,4,4,4,0.00064703,0.99935
713476758,0,44,10007.0,1586,4309,0.158,0,4,Graduate,Married,60K - 80K,Blue,32,4,1,1,3.8289e-05,0.99996
789412458,1,44,23026.0,2517,4909,0.109,0,2,Post-Graduate,Married,60K - 80K,Blue,34,6,3,4,0.99836,0.00164342
719123958,1,40,5051.0,0,2137,0.0,0,4,Graduate,Divorced,60K - 80K,Blue,27,2,2,3,0.99549,0.00451007
709447908,0,45,2648.0,2309,3281,0.872,0,2,Graduate,Married,60K - 80K,Blue,33,4,3,4,0.000516,0.99948
713233908,0,33,20791.0,0,2883,0.0,0,2,Graduate,Divorced,60K - 80K,Blue,21,5,3,3,0.00030251,0.9997
811775883,0,46,5397.0,2336,4734,0.433,0,4,Graduate,Divorced,60K - 80K,Blue,41,4,2,1,7.1987e-05,0.99993
806256333,1,41,1438.3,312,1786,0.217,0,4,Graduate,Married,60K - 80K,Blue,36,2,3,5,0.99893,0.00106612
719976558,0,47,4249.0,1562,1881,0.368,0,2,Graduate,Married,60K - 80K,Blue,34,3,2,4,0.00032656,0.99967
715391433,0,38,11741.0,1560,2143,0.133,0,0,Graduate,Married,60K - 80K,Blue,33,5,4,4,0.00053513,0.99946
716570958,1,50,14409.0,511,2351,0.035,0,3,Post-Graduate,Divorced,60K - 80K,Blue,36,3,2,3,0.99574,0.00425916
714741933,0,42,9906.0,1759,4033,0.178,0,4,Graduate,Married,60K - 80K,Blue,32,1,1,2,6.3492e-05,0.99994
709693833,0,47,9261.0,1605,2468,0.173,0,4,Graduate,Married,60K - 80K,Blue,34,6,3,0,6.9589e-05,0.99993
819200133,0,44,2991.0,642,4646,0.215,0,3,Graduate,Married,60K - 80K,Blue,39,5,4,3,0.00037935,0.99962
789248958,0,37,2946.0,2517,5259,0.854,1,2,High School,Married,40k − 60K,Blue,26,3,2,3,0.0001861,0.99981
710487033,0,44,1438.3,0,4445,0.0,1,2,High School,Married,40k − 60K,Blue,28,2,3,3,0.00029408,0.99971
715168008,0,36,8995.0,1547,2398,0.172,0,3,Graduate,Divorced,40k − 60K,Blue,28,4,2,3,0.00019864,0.9998
789370383,0,42,2807.0,1845,1346,0.657,0,1,High School,Married,40k − 60K,Blue,32,4,2,2,0.00010386,0.9999
713023158,0,39,2901.0,2143,4239,0.739,1,2,College,Married,40k − 60K,Blue,31,3,1,2,5.3547e-05,0.99995
715708308,0,54,2112.0,1594,1338,0.755,1,3,Doctorate,Married,40k − 60K,Blue,39,3,1,3,0.0001391,0.99986
805313808,1,52,8018.0,134,2409,0.017,1,3,High School,Married,40k − 60K,Blue,47,2,2,3,0.99485,0.00515
816615633,0,47,3256.0,2035,7075,0.625,1,2,Doctorate,Married,40k − 60K,Blue,42,2,3,1,0.00015697,0.99984
743800833,0,53,2304.0,1144,4505,0.497,1,3,College,Married,40k − 60K,Blue,46,2,1,1,3.3508e-05,0.99997
780040758,0,40,2606.0,1818,1999,0.698,1,4,College,Married,40k − 60K,Blue,24,5,3,2,0.0001834,0.99982
713214558,0,52,2628.0,2195,3608,0.835,0,2,Graduate,Married,60K - 80K,Blue,41,4,3,3,0.00030251,0.9997
824807658,0,45,9106.0,2477,1239,0.272,0,3,Graduate,Married,60K - 80K,Blue,41,6,3,3,0.0003139,0.99969
714578283,0,47,2053.0,0,1283,0.0,0,1,Graduate,Married,60K - 80K,Blue,37,6,3,0,6.2282e-05,0.99994
714933783,0,51,8511.0,0,3775,0.0,0,2,Graduate,Married,60K - 80K,Blue,37,5,1,4,0.00015804,0.99984
735565158,0,46,21548.0,1180,1582,0.055,0,4,Graduate,Married,60K - 80K,Blue,33,6,2,2,0.00011937,0.99988
759823158,0,46,5374.0,2324,1557,0.432,0,1,Graduate,Married,60K - 80K,Blue,39,4,3,3,0.00031211,0.99969
779980758,0,58,2467.0,1176,4744,0.477,0,2,High School,Divorced,60K - 80K,Blue,46,6,2,0,4.0816e-05,0.99996
714334383,0,54,3583.0,0,1065,0.0,0,2,Graduate,Married,60K - 80K,Blue,42,6,2,0,4.1986e-05,0.99996
735008958,0,42,13650.0,1253,1703,0.092,0,5,Graduate,Married,60K - 80K,Blue,35,6,3,2,0.00020412,0.9998
788485908,0,44,6224.0,0,1463,0.0,0,3,Graduate,Married,60K - 80K,Blue,37,3,2,3,0.00021834,0.99978
780095808,0,43,2588.0,1669,1053,0.645,0,3,Graduate,Divorced,60K - 80K,Blue,30,3,2,1,7.8291e-05,0.99992
708434733,0,56,6735.0,2289,1249,0.34,0,1,Graduate,Married,60K - 80K,Blue,50,6,3,3,0.00028395,0.99972
788370258,0,37,2578.0,2517,1830,0.976,0,4,Graduate,Married,60K - 80K,Blue,30,5,3,2,0.00018864,0.99981
714987633,0,42,4953.0,2039,4026,0.412,0,3,Graduate,Married,60K - 80K,Blue,36,2,2,3,0.00019864,0.9998
714528258,0,46,3299.0,870,4904,0.264,0,2,Graduate,Divorced,60K - 80K,Blue,39,3,1,1,3.3214e-05,0.99997
709764483,1,61,6157.0,581,4041,0.094,0,1,Graduate,Married,60K - 80K,Blue,53,1,1,2,0.98102,0.01898
713552958,0,43,12773.0,1637,14833,0.128,0,5,Graduate,Married,60K - 80K,Blue,28,1,3,1,0.00011199,0.99989
713325108,0,36,7712.0,2517,1845,0.326,0,2,Post-Graduate,Married,60K - 80K,Blue,29,5,3,3,0.00035594,0.99964
711305208,0,52,14785.0,1088,4354,0.074,0,2,Graduate,Married,60K - 80K,Blue,36,6,3,4,0.00056716,0.99943
708170508,1,38,1438.3,0,1651,0.0,0,2,Graduate,Married,60K - 80K,Blue,36,2,3,2,0.99447,0.00553
721417233,1,45,1438.3,0,709,0.0,0,2,Graduate,Married,60K - 80K,Blue,25,3,5,3,0.99705,0.00294997
779737233,0,51,9589.0,628,3971,0.065,0,1,Graduate,Married,60K - 80K,Blue,35,3,3,2,0.00016883,0.99983
710202783,0,33,1963.0,1721,1378,0.877,0,2,Graduate,Married,60K - 80K,Blue,13,3,3,3,0.00030251,0.9997
713672208,0,50,19939.0,0,3342,0.0,0,1,Doctorate,Divorced,60K - 80K,Blue,33,3,5,2,0.00027287,0.99973
714600258,0,45,5945.0,2015,3645,0.339,0,2,Post-Graduate,Married,60K - 80K,Blue,36,1,2,2,0.00013393,0.99987
709381383,0,49,2952.0,2517,3830,0.853,0,4,Graduate,Married,60K - 80K,Blue,36,4,6,2,0.00014892,0.99985
710231433,0,56,3110.0,2378,3395,0.765,0,1,Uneducated,Married,60K - 80K,Blue,43,5,1,4,0.00015252,0.99985
708720558,0,44,4489.0,0,3773,0.0,0,3,College,Married,60K - 80K,Blue,30,5,2,0,4.2358e-05,0.99996
710620383,0,43,24396.0,1171,965,0.048,0,4,Graduate,Married,60K - 80K,Blue,35,6,3,2,0.00020735,0.99979
816513108,0,54,5269.0,1099,2195,0.209,0,4,Graduate,Married,60K - 80K,Blue,49,3,1,2,5.7762e-05,0.99994
721043058,0,58,12010.0,2149,1700,0.179,0,4,Graduate,Married,60K - 80K,Blue,44,5,1,3,0.00010679,0.99989
721379433,0,44,11338.0,0,1227,0.0,0,4,Graduate,Married,60K - 80K,Blue,28,6,2,3,0.00020077,0.9998
712866933,0,51,10824.0,0,3700,0.0,0,2,Graduate,Married,60K - 80K,Blue,32,6,3,4,0.000516,0.99948
778284783,0,44,2791.0,1979,4617,0.709,0,5,Graduate,Married,60K - 80K,Blue,34,5,3,2,0.00020412,0.9998
719213133,0,53,2432.0,1554,3670,0.639,0,1,Graduate,Married,60K - 80K,Blue,41,4,1,2,5.1697e-05,0.99995
719701383,0,44,5175.0,0,14304,0.0,0,4,Graduate,Married,60K - 80K,Blue,32,4,3,3,0.00034872,0.99965
758211483,0,45,6895.0,2314,8778,0.336,0,5,Graduate,Married,60K - 80K,Blue,38,1,2,3,0.00021724,0.99978
788896983,0,53,7928.0,1228,1537,0.155,0,2,Graduate,Married,60K - 80K,Blue,38,6,3,2,0.00017987,0.99982
720693033,1,33,8925.0,168,741,0.019,0,1,Graduate,Married,60K - 80K,Blue,36,1,3,4,0.99813,0.00187387
721169883,0,41,5002.0,1945,16161,0.389,0,5,College,Married,60K - 80K,Blue,31,1,3,2,0.00018054,0.99982
826780683,0,40,15008.0,0,3943,0.0,0,3,Graduate,Married,60K - 80K,Blue,36,6,2,2,0.00011811,0.99988
713550483,0,45,8670.0,1930,13767,0.223,0,4,Graduate,Married,60K - 80K,Blue,33,1,5,1,0.00012707,0.99987
709550958,0,51,7133.0,0,2689,0.0,0,3,Graduate,Married,60K - 80K,Blue,32,3,1,4,0.00016399,0.99984
709405758,0,36,1911.0,1217,1965,0.637,0,2,Graduate,Married,60K - 80K,Blue,28,4,3,2,0.00017987,0.99982
711327558,0,38,2801.0,1980,1600,0.707,0,2,High School,Married,40k − 60K,Blue,36,3,3,1,0.00010545,0.99989
714753258,0,34,2379.0,1982,2966,0.833,0,2,Graduate,Married,60K - 80K,Blue,36,5,2,4,0.00035894,0.99964
711786108,0,52,7187.0,2014,1159,0.28,0,1,Graduate,Married,60K - 80K,Blue,43,3,3,2,0.00016883,0.99983
779078733,0,55,16427.0,1682,1579,0.102,0,2,Doctorate,Married,60K - 80K,Blue,36,3,4,3,0.00052896,0.99947
710369658,0,50,3276.0,2353,4488,0.718,0,3,Graduate,Married,60K - 80K,Blue,36,4,3,2,0.00020516,0.99979
771872733,0,38,3809.0,1521,4666,0.399,0,0,Graduate,Married,60K - 80K,Blue,26,5,2,1,6.4745e-05,0.99994
778459833,0,42,11880.0,2025,1789,0.17,0,5,Graduate,Married,60K - 80K,Blue,27,3,2,3,0.00019764,0.9998
709426608,0,56,5248.0,1816,2305,0.346,0,1,Doctorate,Married,60K - 80K,Blue,46,5,2,4,0.00044353,0.99956
711365133,0,43,2283.0,1470,5100,0.644,0,1,Graduate,Single,60K - 80K,Blue,31,4,3,1,0.00011192,0.99989
713828208,0,47,8311.0,0,1895,0.0,0,2,Uneducated,Married,60K - 80K,Blue,36,6,2,1,7.0576e-05,0.99993
713279808,0,53,5619.0,1310,1816,0.233,0,2,Graduate,Married,60K - 80K,Blue,36,6,3,3,0.00033251,0.99967
719320833,0,39,5471.0,2056,1992,0.376,0,2,Post-Graduate,Married,60K - 80K,Blue,36,6,3,2,0.00021165,0.99979
710371683,0,51,3451.0,2006,4097,0.581,0,4,Doctorate,Married,60K - 80K,Blue,36,2,1,2,8.3588e-05,0.99992
773140683,0,51,3797.0,1202,4191,0.317,0,0,Graduate,Married,60K - 80K,Blue,43,4,1,2,5.1951e-05,0.99995
709179708,0,40,3099.0,0,3622,0.0,0,2,Graduate,Divorced,60K - 80K,Blue,36,3,1,2,5.5077e-05,0.99994
718121658,1,56,1704.0,0,660,0.0,0,1,College,Married,60K - 80K,Blue,44,5,3,3,0.99639,0.00360825
711473058,0,44,11651.0,1368,3870,0.117,0,4,Graduate,Divorced,60K - 80K,Blue,32,6,3,2,0.00018864,0.99981
789172683,0,56,2283.0,1430,1741,0.626,0,2,Doctorate,Married,60K - 80K,Blue,45,6,2,0,6.0759e-05,0.99994
789407958,0,42,17165.0,1153,4063,0.067,0,1,Graduate,Married,60K - 80K,Blue,33,6,2,3,0.00017969,0.99982
711003483,0,40,20466.0,1138,15121,0.056,0,3,Graduate,Divorced,60K - 80K,Blue,24,2,3,3,0.00034503,0.99965
709703433,0,47,21304.0,1532,1770,0.072,0,3,Graduate,Married,60K - 80K,Blue,38,4,1,2,5.7151e-05,0.99994
779338683,0,62,14825.0,962,1904,0.065,0,1,Graduate,Married,60K - 80K,Blue,44,5,2,2,0.00010684,0.99989
778706508,0,43,6231.0,0,1448,0.0,0,4,College,Married,60K - 80K,Blue,24,3,5,4,0.00058762,0.99941
712370208,0,48,17131.0,1213,1371,0.071,0,1,Uneducated,Married,60K - 80K,Blue,35,3,2,2,0.00010985,0.99989
713339283,0,54,6348.0,798,4135,0.126,0,3,Graduate,Married,60K - 80K,Blue,39,4,3,4,0.00058851,0.99941
768196008,0,54,14948.0,2158,3094,0.144,0,1,Uneducated,Single,60K - 80K,Blue,48,5,2,3,0.00018475,0.99982
716204883,0,53,7026.0,1728,3935,0.246,0,4,College,Married,60K - 80K,Blue,44,5,3,1,0.00011061,0.99989
773827008,0,47,2405.0,1540,1087,0.64,0,4,Uneducated,Single,60K - 80K,Blue,41,6,2,2,0.00012274,0.99988
715462008,0,45,17884.0,2096,2031,0.117,0,2,College,Married,60K - 80K,Blue,35,6,3,2,0.00017488,0.99983
719239158,0,48,5448.0,0,3912,0.0,0,3,High School,Married,60K - 80K,Blue,39,4,3,2,0.00018145,0.99982
710986758,0,43,11550.0,1505,3891,0.13,0,3,High School,Single,60K - 80K,Blue,30,6,2,4,0.00032942,0.99967
819606258,0,48,8737.0,1629,3876,0.186,0,4,Graduate,Married,60K - 80K,Blue,43,5,3,3,0.00034872,0.99965
804840033,0,45,16611.0,0,1960,0.0,0,2,College,Married,60K - 80K,Blue,38,4,6,4,0.00039606,0.9996
822121608,0,46,7116.0,693,4759,0.097,0,2,High School,Married,60K - 80K,Blue,42,3,3,2,0.00017486,0.99983
713497983,0,49,5578.0,0,3459,0.0,0,5,High School,Single,60K - 80K,Blue,36,1,2,2,0.00011423,0.99989
772725408,0,40,24499.0,2517,7667,0.103,0,3,Uneducated,Divorced,60K - 80K,Blue,30,2,3,2,0.00019191,0.99981
715857183,0,46,4939.0,1296,2150,0.262,0,2,College,Single,60K - 80K,Blue,36,3,3,2,0.00017488,0.99983
712817808,0,39,4761.0,1561,2045,0.328,0,2,Graduate,Married,60K - 80K,Blue,23,5,2,1,6.864e-05,0.99993
712924383,1,55,8411.0,979,990,0.116,0,3,Graduate,Single,60K - 80K,Blue,36,3,2,2,0.99236,0.00764
737944908,0,58,14976.0,1463,1599,0.098,0,2,Graduate,Married,60K - 80K,Blue,51,4,2,2,0.00012511,0.99987
787573683,0,41,2624.0,1319,4189,0.503,0,3,Post-Graduate,Married,60K - 80K,Blue,34,4,2,2,0.00013897,0.99986
708765933,0,46,5464.0,887,4866,0.162,0,2,Post-Graduate,Married,60K - 80K,Blue,36,3,2,2,0.00013393,0.99987
779709033,0,46,5735.0,2410,3908,0.42,0,4,Graduate,Married,60K - 80K,Blue,29,6,3,2,0.00020735,0.99979
780378633,0,43,9382.0,1455,3412,0.155,0,3,College,Married,60K - 80K,Blue,33,4,3,4,0.00052057,0.99948
779528658,0,42,3092.0,1115,2133,0.361,0,4,College,Married,60K - 80K,Blue,25,4,3,3,0.00030845,0.99969
826410708,0,40,22956.0,1407,5554,0.061,0,4,Graduate,Married,60K - 80K,Blue,36,3,2,3,0.00022068,0.99978
720196158,0,48,4476.0,0,3350,0.0,0,3,Graduate,Single,60K - 80K,Blue,40,6,3,3,0.00034503,0.99965
753606108,0,56,1438.3,0,1093,0.0,0,3,Graduate,Single,60K - 80K,Blue,49,3,1,3,0.00010566,0.99989
716258358,0,57,23058.0,1534,7009,0.067,0,2,Uneducated,Single,60K - 80K,Blue,36,1,1,3,9.5249e-05,0.9999
720539583,0,46,21226.0,1202,14103,0.057,0,4,Graduate,Single,60K - 80K,Blue,31,4,1,4,0.00018218,0.99982
714811533,0,39,1715.0,0,5910,0.0,0,2,High School,Married,60K - 80K,Blue,32,3,2,2,0.00011065,0.99989
709916058,0,58,2347.0,2163,1631,0.922,0,1,Graduate,Married,60K - 80K,Blue,36,3,1,3,9.5577e-05,0.9999
711646908,1,39,7821.0,2517,2010,0.322,0,3,Graduate,Single,60K - 80K,Blue,23,1,2,3,0.99544,0.00455805
788252358,0,49,8190.0,1716,3529,0.21,0,3,High School,Single,60K - 80K,Blue,40,3,4,2,0.00021928,0.99978
785230083,0,50,3318.0,2349,4905,0.708,0,2,Uneducated,Single,60K - 80K,Blue,44,1,2,1,7.0576e-05,0.99993
717915783,1,60,4541.0,1037,2829,0.228,0,0,Graduate,Married,60K - 80K,Blue,47,5,1,3,0.98869,0.01131
709722858,0,50,20708.0,1357,8503,0.066,0,1,Graduate,Married,60K - 80K,Blue,37,2,2,2,0.00010684,0.99989
717958833,0,46,1535.0,700,1848,0.456,0,4,Graduate,Married,60K - 80K,Blue,35,5,1,2,5.7762e-05,0.99994
708139833,1,40,6391.0,0,2323,0.0,0,3,Graduate,Married,60K - 80K,Blue,30,4,2,3,0.99499,0.00501
823922208,0,49,2122.0,1101,7404,0.519,0,3,Graduate,Single,60K - 80K,Blue,45,1,1,1,3.7884e-05,0.99996
