Attrition_Numeric,Customer_Age_zScore,Credit_Limit_SqR,Total_Revolving_Bal_divMedian,Total_Trans_Amt_log,Avg_Utilization_Ratio_divMedian,Gender,Dependent_count,Education_Level_sorted,Marital_Status_sorted,Income_Category_sorted,Card_Category_sorted,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon
0,0.0840824016782487,971.5,1.2962382445141063,8.129174996911793,4.8352272727272725,M,4,High School,Divorced,60K - 80K,Blue,36,6,1,3
0,1.8304982740982216,1632.0,1.056426332288401,7.417580402414544,2.346590909090909,M,1,Graduate,Married,60K - 80K,Blue,55,6,2,3
0,0.9572903378882354,5533.5,1.9725705329153604,7.519149957669823,1.2897727272727273,M,2,Uneducated,Married,60K - 80K,Blue,36,3,3,3
0,1.2067783196625173,719.15,0.0,7.27655640271871,0.0,M,2,Post-Graduate,Married,60K - 80K,Blue,49,5,3,4
0,0.7078023561139535,1371.0,1.7115987460815048,8.250358951477294,4.522727272727273,M,0,Graduate,Married,60K - 80K,Blue,46,3,2,4
0,-1.5375894798545835,1945.0,1.79153605015674,7.543802867501509,3.340909090909091,M,1,Graduate,Married,60K - 80K,Blue,29,3,2,3
0,-1.1633575071931606,2470.0,0.9396551724137931,8.085178748074537,1.380681818181818,M,3,Graduate,Married,60K - 80K,Blue,31,3,1,3
1,1.58101029232394,719.15,0.0,6.738152494595957,0.0,M,2,Post-Graduate,Married,60K - 80K,Blue,46,3,3,3
1,0.4583143743396716,10548.0,0.0,7.540090320145325,0.0,M,3,Uneducated,Married,60K - 80K,Blue,45,2,2,5
1,1.2067783196625173,3112.0,0.0,9.102643796520807,0.0,M,4,Graduate,Divorced,60K - 80K,Blue,36,6,3,3
0,1.2067783196625173,2029.0,0.6214733542319749,9.671870704017296,1.1079545454545456,M,2,Graduate,Married,60K - 80K,Blue,49,3,3,3
0,-2.036565443403147,9256.5,1.9725705329153604,7.356918242356021,0.7727272727272728,M,0,Graduate,Married,60K - 80K,Blue,36,3,5,3
0,0.5830583652268125,1779.5,0.0,8.411388132519262,0.0,M,2,Uneducated,Married,60K - 80K,Blue,40,2,1,1
0,-0.7891255345317377,8563.0,0.9412225705329154,8.266421472984554,0.3977272727272727,M,3,Graduate,Married,60K - 80K,Blue,31,6,3,4
0,0.3335703834525306,7688.5,1.188087774294671,7.521859252201629,0.5625000000000001,M,2,Graduate,Married,60K - 80K,Blue,43,4,4,4
0,2.079986255872504,1778.0,1.9725705329153604,7.731492029245684,4.0227272727272725,M,0,Graduate,Married,60K - 80K,Blue,55,4,1,4
0,0.8325463470010944,1690.0,1.3330721003134796,7.31455283232408,2.8579545454545454,M,1,Graduate,Married,60K - 80K,Blue,45,6,2,2
0,-1.0386135163060195,2323.0,1.316614420062696,7.711548979629146,2.0568181818181817,M,3,Graduate,Married,60K - 80K,Blue,28,3,1,2
0,1.331522310549658,1240.0,1.2413793103448276,8.142645185942795,3.6306818181818175,M,2,Graduate,Married,60K - 80K,Blue,45,4,1,2
0,0.0840824016782487,10665.5,0.9804075235109718,7.286191714702382,0.3352272727272727,M,3,Graduate,Married,60K - 80K,Blue,36,2,1,2
0,1.8304982740982216,7741.5,1.683385579937304,9.579348943073732,0.7897727272727274,M,0,Graduate,Married,60K - 80K,Blue,48,1,3,1
0,0.2088263925653897,6598.5,0.0,9.03884005381381,0.0,M,4,Graduate,Married,60K - 80K,Blue,37,2,1,1
0,-0.0406615892088921,895.0,0.6238244514106583,8.171599480345463,2.5284090909090917,M,5,Graduate,Married,60K - 80K,Blue,35,3,3,3
0,1.4562663014367991,2983.5,1.841692789968652,7.262628600974241,2.238636363636364,M,4,Graduate,Married,60K - 80K,Blue,36,6,2,4
0,0.9572903378882354,3738.5,1.3730407523510972,7.341483852363161,1.3295454545454548,M,4,Graduate,Married,60K - 80K,Blue,36,3,4,2
1,-1.6623334707417243,11699.5,0.0,9.143773127704067,0.0,M,3,Graduate,Married,60K - 80K,Blue,15,5,1,3
0,-0.6643815436445969,1061.0,0.9318181818181818,8.384575666801398,3.181818181818182,M,3,Graduate,Married,60K - 80K,Blue,31,5,2,2
1,-0.4148935618703149,7223.5,0.0,6.818924065275521,0.0,M,2,Uneducated,Married,60K - 80K,Blue,24,2,3,3
0,-1.1633575071931606,9475.5,0.9741379310344828,7.96346006663897,0.375,M,1,Graduate,Married,60K - 80K,Blue,19,6,1,2
0,0.4583143743396716,8702.0,1.3675548589341693,8.409830673087738,0.5681818181818182,M,1,College,Married,60K - 80K,Blue,40,4,2,4
0,-1.1633575071931606,1675.5,1.4474921630094044,7.554858521040676,3.130681818181819,M,5,Graduate,Married,60K - 80K,Blue,31,5,3,4
1,-0.7891255345317377,9193.0,0.6974921630094044,7.437206366871292,0.2727272727272727,M,1,Post-Graduate,Married,60K - 80K,Blue,36,6,3,4
0,-1.0386135163060195,3854.5,1.7452978056426331,7.832014180505469,1.6420454545454546,M,3,Graduate,Married,60K - 80K,Blue,32,3,1,2
1,-0.539637552757456,1238.0,1.7633228840125392,8.446556111816797,5.164772727272728,M,2,Post-Graduate,Married,60K - 80K,Blue,27,2,2,2
0,-0.0406615892088921,3974.5,1.1865203761755485,8.118207049405783,1.0795454545454546,M,2,Graduate,Married,60K - 80K,Blue,40,4,2,4
0,-1.1633575071931606,3184.5,0.0,7.891704659330107,0.0,M,2,Graduate,Married,60K - 80K,Blue,27,4,2,4
0,-1.4128454889674424,2620.0,1.1371473354231976,7.683403681053826,1.573863636363637,M,3,Graduate,Married,60K - 80K,Blue,25,5,3,3
0,0.9572903378882354,954.5,1.3738244514106583,7.284134806195205,5.215909090909092,M,1,College,Married,60K - 80K,Blue,37,6,3,2
0,-0.539637552757456,2081.0,1.286050156739812,8.28576542051433,2.238636363636364,M,5,High School,Married,60K - 80K,Blue,32,1,2,2
0,0.4583143743396716,1483.0,1.1230407523510972,7.593877844605118,2.744318181818182,M,2,Graduate,Divorced,60K - 80K,Blue,41,6,1,3
1,-0.0406615892088921,2133.5,0.0,6.9726062513017535,0.0,M,3,Graduate,Married,60K - 80K,Blue,36,2,3,4
0,-0.0406615892088921,1629.0,0.0,8.06117135969092,0.0,M,4,Graduate,Married,60K - 80K,Blue,36,3,3,3
0,1.955242264985363,1837.0,0.70141065830721,7.440146680662688,1.3863636363636365,M,0,Graduate,Married,60K - 80K,Blue,36,6,3,3
1,0.3335703834525306,980.0,0.0,7.720017940432244,0.0,M,5,Uneducated,Married,60K - 80K,Blue,43,3,3,3
0,-0.1654055800960331,2998.0,0.6778996865203761,8.421122722665503,0.8181818181818181,M,3,Uneducated,Married,60K - 80K,Blue,39,3,2,3
0,0.7078023561139535,3630.5,1.1308777429467085,9.58417720462617,1.1306818181818183,M,2,High School,Divorced,60K - 80K,Blue,42,1,3,2
0,0.4583143743396716,3254.0,1.7836990595611286,8.355614995760183,1.9886363636363635,M,2,Graduate,Married,60K - 80K,Blue,39,4,1,4
0,1.8304982740982216,2926.0,1.5164576802507836,8.213110697596676,1.8806818181818183,M,0,High School,Divorced,60K - 80K,Blue,51,6,3,4
0,0.4583143743396716,4737.0,0.8001567398119123,8.083328608786376,0.6136363636363636,M,0,Uneducated,Divorced,60K - 80K,Blue,39,6,3,3
1,-0.539637552757456,2481.5,0.0,7.755767170102998,0.0,M,5,Graduate,Married,60K - 80K,Blue,36,2,3,2
0,-0.7891255345317377,1111.5,0.4678683385579937,8.11102783819368,1.528409090909091,M,3,Graduate,Married,60K - 80K,Blue,36,4,4,4
0,-0.290149570983174,5003.5,1.2429467084639498,8.368461137615839,0.8977272727272728,M,4,Graduate,Married,60K - 80K,Blue,32,4,1,1
1,-0.290149570983174,11513.0,1.9725705329153604,8.498825534058053,0.6193181818181819,M,2,Post-Graduate,Married,60K - 80K,Blue,34,6,3,4
1,-0.7891255345317377,2525.5,0.0,7.667158255319148,0.0,M,4,Graduate,Divorced,60K - 80K,Blue,27,2,2,3
0,-0.1654055800960331,1324.0,1.8095611285266455,8.0959035329611,4.954545454545455,M,2,Graduate,Married,60K - 80K,Blue,33,4,3,4
0,-1.6623334707417243,10395.5,0.0,7.966586697638402,0.0,M,2,Graduate,Divorced,60K - 80K,Blue,21,5,3,3
0,-0.0406615892088921,2698.5,1.830721003134796,8.46252579007393,2.460227272727273,M,4,Graduate,Divorced,60K - 80K,Blue,41,4,2,1
1,-0.6643815436445969,719.15,0.2445141065830721,7.487733761436444,1.2329545454545454,M,4,Graduate,Married,60K - 80K,Blue,36,2,3,5
0,0.0840824016782487,2124.5,1.2241379310344829,7.53955882930103,2.090909090909091,M,2,Graduate,Married,60K - 80K,Blue,34,3,2,4
0,-1.0386135163060195,5870.5,1.2225705329153604,7.669961995473577,0.7556818181818182,M,0,Graduate,Married,60K - 80K,Blue,33,5,4,4
1,0.4583143743396716,7204.5,0.4004702194357367,7.762596048540069,0.1988636363636363,M,3,Post-Graduate,Divorced,60K - 80K,Blue,36,3,2,3
0,-0.539637552757456,4953.0,1.378526645768025,8.302265794873367,1.0113636363636365,M,4,Graduate,Married,60K - 80K,Blue,32,1,1,2
0,0.0840824016782487,4630.5,1.2578369905956113,7.811163385025279,0.9829545454545454,M,4,Graduate,Married,60K - 80K,Blue,34,6,3,0
0,-0.290149570983174,1495.5,0.5031347962382445,8.443761913330354,1.2215909090909092,M,3,Graduate,Married,60K - 80K,Blue,39,5,4,3
0,-1.1633575071931606,1473.0,1.9725705329153604,8.567696173589344,4.852272727272728,F,2,High School,Married,40k − 60K,Blue,26,3,2,3
0,-0.290149570983174,719.15,0.0,8.399535147948004,0.0,F,2,High School,Married,40k − 60K,Blue,28,2,3,3
0,-1.2881014980803016,4497.5,1.212382445141066,7.7823903355874595,0.9772727272727272,M,3,Graduate,Divorced,40k − 60K,Blue,28,4,2,3
0,-0.539637552757456,1403.5,1.4459247648902822,7.204892510204673,3.732954545454546,M,1,High School,Married,40k − 60K,Blue,32,4,2,2
0,-0.9138695254188788,1450.5,1.6794670846394983,8.352082671352637,4.198863636363637,F,2,College,Married,40k − 60K,Blue,31,3,1,2
0,0.9572903378882354,1056.0,1.249216300940439,7.198931240688173,4.289772727272728,F,3,Doctorate,Married,40k − 60K,Blue,39,3,1,3
1,0.7078023561139535,4009.0,0.1050156739811912,7.786967002614872,0.0965909090909091,F,3,High School,Married,40k − 60K,Blue,47,2,2,3
0,0.0840824016782487,1628.0,1.5948275862068966,8.864322722511439,3.551136363636364,F,2,Doctorate,Married,40k − 60K,Blue,42,2,3,1
0,0.8325463470010944,1152.0,0.896551724137931,8.412943170042439,2.8238636363636367,F,3,College,Married,40k − 60K,Blue,46,2,1,1
0,-0.7891255345317377,1303.0,1.4247648902821315,7.6004023345004,3.965909090909091,F,4,College,Married,40k − 60K,Blue,24,5,3,2
0,0.7078023561139535,1314.0,1.7202194357366771,8.190908881182514,4.744318181818182,M,2,Graduate,Married,60K - 80K,Blue,41,4,3,3
0,-0.1654055800960331,4553.0,1.9412225705329156,7.122059881629142,1.5454545454545456,M,3,Graduate,Married,60K - 80K,Blue,41,6,3,3
0,0.0840824016782487,1026.5,0.0,7.1569563646156364,0.0,M,1,Graduate,Married,60K - 80K,Blue,37,6,3,0
0,0.5830583652268125,4255.5,0.0,8.236155661683124,0.0,M,2,Graduate,Married,60K - 80K,Blue,37,5,1,4
0,-0.0406615892088921,10774.0,0.9247648902821316,7.366445148327599,0.3125,M,4,Graduate,Married,60K - 80K,Blue,33,6,2,2
0,-0.0406615892088921,2687.0,1.8213166144200628,7.350516171833998,2.4545454545454546,M,1,Graduate,Married,60K - 80K,Blue,39,4,3,3
0,1.4562663014367991,1233.5,0.9216300940438872,8.464635940677562,2.710227272727273,M,2,High School,Divorced,60K - 80K,Blue,46,6,2,0
0,0.9572903378882354,1791.5,0.0,6.970730078143525,0.0,M,2,Graduate,Married,60K - 80K,Blue,42,6,2,0
0,-0.539637552757456,6825.0,0.981974921630094,7.440146680662688,0.5227272727272727,M,5,Graduate,Married,60K - 80K,Blue,35,6,3,2
0,-0.290149570983174,3112.0,0.0,7.288244401020124,0.0,M,3,Graduate,Married,60K - 80K,Blue,37,3,2,3
0,-0.4148935618703149,1294.0,1.3079937304075235,6.959398512133975,3.664772727272728,M,3,Graduate,Divorced,60K - 80K,Blue,30,3,2,1
0,1.2067783196625173,3367.5,1.7938871473354232,7.130098510125578,1.931818181818182,M,1,Graduate,Married,60K - 80K,Blue,50,6,3,3
0,-1.1633575071931606,1289.0,1.9725705329153604,7.512071245835466,5.545454545454546,M,4,Graduate,Married,60K - 80K,Blue,30,5,3,2
0,-0.539637552757456,2476.5,1.597962382445141,8.300528606199737,2.340909090909091,M,3,Graduate,Married,60K - 80K,Blue,36,2,2,3
0,-0.0406615892088921,1649.5,0.6818181818181818,8.497806477616047,1.5000000000000002,M,2,Graduate,Divorced,60K - 80K,Blue,39,3,1,1
1,1.8304982740982216,3078.5,0.4553291536050157,8.304247465078474,0.5340909090909092,M,1,Graduate,Married,60K - 80K,Blue,53,1,1,2
0,-0.4148935618703149,6386.5,1.2829153605015673,9.604609707323611,0.7272727272727273,M,5,Graduate,Married,60K - 80K,Blue,28,1,3,1
0,-1.2881014980803016,3856.0,1.9725705329153604,7.520234556474628,1.8522727272727275,M,2,Post-Graduate,Married,60K - 80K,Blue,29,5,3,3
0,0.7078023561139535,7392.5,0.8526645768025078,8.378850241794492,0.4204545454545454,M,2,Graduate,Married,60K - 80K,Blue,36,6,3,4
1,-1.0386135163060195,719.15,0.0,7.409136443920128,0.0,M,2,Graduate,Married,60K - 80K,Blue,36,2,3,2
1,-0.1654055800960331,719.15,0.0,6.563855526532128,0.0,M,2,Graduate,Married,60K - 80K,Blue,25,3,5,3
0,0.5830583652268125,4794.5,0.4921630094043887,8.286773231131251,0.3693181818181819,M,1,Graduate,Married,60K - 80K,Blue,35,3,3,2
0,-1.6623334707417243,981.5,1.348746081504702,7.228388451573604,4.982954545454546,M,2,Graduate,Married,60K - 80K,Blue,13,3,3,3
0,0.4583143743396716,9969.5,0.0,8.114324709155339,0.0,M,1,Doctorate,Divorced,60K - 80K,Blue,33,3,5,2
0,-0.1654055800960331,2972.5,1.579153605015674,8.201111644442758,1.926136363636364,M,2,Post-Graduate,Married,60K - 80K,Blue,36,1,2,2
0,0.3335703834525306,1476.0,1.9725705329153604,8.250620082174692,4.846590909090909,M,4,Graduate,Married,60K - 80K,Blue,36,4,6,2
0,1.2067783196625173,1555.0,1.8636363636363635,8.130059039992796,4.346590909090909,M,1,Uneducated,Married,60K - 80K,Blue,43,5,1,4
0,-0.290149570983174,2244.5,0.0,8.235625719964311,0.0,M,3,College,Married,60K - 80K,Blue,30,5,2,0
0,-0.4148935618703149,12198.0,0.9177115987460815,6.872128101338986,0.2727272727272727,M,4,Graduate,Married,60K - 80K,Blue,35,6,3,2
0,0.9572903378882354,2634.5,0.8612852664576802,7.693937325509272,1.1875,M,4,Graduate,Married,60K - 80K,Blue,49,3,1,2
0,1.4562663014367991,6005.0,1.6841692789968652,7.438383530044307,1.0170454545454546,M,4,Graduate,Married,60K - 80K,Blue,44,5,1,3
0,-0.290149570983174,5669.0,0.0,7.112327444710911,0.0,M,4,Graduate,Married,60K - 80K,Blue,28,6,2,3
0,0.5830583652268125,5412.0,0.0,8.216088098632316,0.0,M,2,Graduate,Married,60K - 80K,Blue,32,6,3,4
0,-0.290149570983174,1395.5,1.5509404388714734,8.43750042250699,4.028409090909091,M,5,Graduate,Married,60K - 80K,Blue,34,5,3,2
0,0.8325463470010944,1216.0,1.2178683385579938,8.207946941048617,3.6306818181818175,M,1,Graduate,Married,60K - 80K,Blue,41,4,1,2
0,-0.290149570983174,2587.5,0.0,9.568294497413296,0.0,M,4,Graduate,Married,60K - 80K,Blue,32,4,3,3
0,-0.1654055800960331,3447.5,1.8134796238244515,9.08000387024818,1.9090909090909092,M,5,Graduate,Married,60K - 80K,Blue,38,1,2,3
0,0.8325463470010944,3964.0,0.962382445141066,7.337587743538596,0.8806818181818182,M,2,Graduate,Married,60K - 80K,Blue,38,6,3,2
1,-1.6623334707417243,4462.5,0.1316614420062695,6.608000625296087,0.1079545454545454,M,1,Graduate,Married,60K - 80K,Blue,36,1,3,4
0,-0.6643815436445969,2501.0,1.524294670846395,9.690356211348645,2.210227272727273,M,5,College,Married,60K - 80K,Blue,31,1,3,2
0,-0.7891255345317377,7504.0,0.0,8.279697133877628,0.0,M,3,Graduate,Married,60K - 80K,Blue,36,6,2,2
0,-0.1654055800960331,4335.0,1.512539184952978,9.530029703062944,1.2670454545454546,M,4,Graduate,Married,60K - 80K,Blue,33,1,5,1
0,0.5830583652268125,3566.5,0.0,7.896924656268864,0.0,M,3,Graduate,Married,60K - 80K,Blue,32,3,1,4
0,-1.2881014980803016,955.5,0.9537617554858934,7.583247524303362,3.619318181818182,M,2,Graduate,Married,60K - 80K,Blue,28,4,3,2
0,-1.0386135163060195,1400.5,1.5517241379310345,7.377758908227872,4.017045454545454,M,2,High School,Married,40k − 60K,Blue,36,3,3,1
0,-1.5375894798545835,1189.5,1.553291536050157,7.994969522697877,4.732954545454546,M,2,Graduate,Married,60K - 80K,Blue,36,5,2,4
0,0.7078023561139535,3593.5,1.578369905956113,7.055312843339752,1.590909090909091,M,1,Graduate,Married,60K - 80K,Blue,43,3,3,2
0,1.0820343287753762,8213.5,1.318181818181818,7.364547014255642,0.5795454545454546,M,2,Doctorate,Married,60K - 80K,Blue,36,3,4,3
0,0.4583143743396716,1638.0,1.8440438871473357,8.409162447202533,4.079545454545455,M,3,Graduate,Married,60K - 80K,Blue,36,4,3,2
0,-1.0386135163060195,1904.5,1.1920062695924765,8.448057452581375,2.2670454545454546,M,0,Graduate,Married,60K - 80K,Blue,26,5,2,1
0,-0.539637552757456,5940.0,1.5869905956112853,7.489412083508719,0.965909090909091,M,5,Graduate,Married,60K - 80K,Blue,27,3,2,3
0,1.2067783196625173,2624.0,1.4231974921630095,7.742835955430749,1.9659090909090908,M,1,Doctorate,Married,60K - 80K,Blue,46,5,2,4
0,-0.4148935618703149,1141.5,1.152037617554859,8.536995818712418,3.6590909090909096,M,1,Graduate,Single,60K - 80K,Blue,31,4,3,1
0,0.0840824016782487,4155.5,0.0,7.546974117516527,0.0,M,2,Uneducated,Married,60K - 80K,Blue,36,6,2,1
0,0.8325463470010944,2809.5,1.0266457680250785,7.504391559161238,1.3238636363636365,M,2,Graduate,Married,60K - 80K,Blue,36,6,3,3
0,-0.9138695254188788,2735.5,1.6112852664576802,7.596894438144544,2.1363636363636367,M,2,Post-Graduate,Married,60K - 80K,Blue,36,6,3,2
0,0.5830583652268125,1725.5,1.572100313479624,8.318010277546872,3.301136363636364,M,4,Doctorate,Married,60K - 80K,Blue,36,2,1,2
0,0.5830583652268125,1898.5,0.9420062695924764,8.340694647925071,1.8011363636363638,M,0,Graduate,Married,60K - 80K,Blue,43,4,1,2
0,-0.7891255345317377,1549.5,0.0,8.19478163844336,0.0,M,2,Graduate,Divorced,60K - 80K,Blue,36,3,1,2
1,1.2067783196625173,852.0,0.0,6.492239835020471,0.0,M,1,College,Married,60K - 80K,Blue,44,5,3,3
0,-0.290149570983174,5825.5,1.072100313479624,8.261009786023827,0.6647727272727274,M,4,Graduate,Divorced,60K - 80K,Blue,32,6,3,2
0,1.2067783196625173,1141.5,1.1206896551724137,7.462214939768189,3.556818181818182,M,2,Doctorate,Married,60K - 80K,Blue,45,6,2,0
0,-0.539637552757456,8582.5,0.9036050156739812,8.309676895987726,0.3806818181818182,M,1,Graduate,Married,60K - 80K,Blue,33,6,2,3
0,-0.7891255345317377,10233.0,0.8918495297805643,9.623839785112668,0.3181818181818182,M,3,Graduate,Divorced,60K - 80K,Blue,24,2,3,3
0,0.0840824016782487,10652.0,1.2006269592476488,7.478734825567875,0.409090909090909,M,3,Graduate,Married,60K - 80K,Blue,38,4,1,2
0,1.955242264985363,7412.5,0.7539184952978056,7.55171221535131,0.3693181818181819,M,1,Graduate,Married,60K - 80K,Blue,44,5,2,2
0,-0.4148935618703149,3115.5,0.0,7.277938572945661,0.0,M,4,College,Married,60K - 80K,Blue,24,3,5,4
0,0.2088263925653897,8565.5,0.950626959247649,7.223295679562314,0.4034090909090909,M,1,Uneducated,Married,60K - 80K,Blue,35,3,2,2
0,0.9572903378882354,3174.0,0.6253918495297806,8.327242607457793,0.7159090909090909,M,3,Graduate,Married,60K - 80K,Blue,39,4,3,4
0,0.9572903378882354,7474.0,1.6912225705329154,8.037220031133012,0.8181818181818181,M,1,Uneducated,Single,60K - 80K,Blue,48,5,2,3
0,0.8325463470010944,3513.0,1.35423197492163,8.277666160851503,1.3977272727272727,M,4,College,Married,60K - 80K,Blue,44,5,3,1
0,0.0840824016782487,1202.5,1.206896551724138,6.99117688712121,3.6363636363636367,M,4,Uneducated,Single,60K - 80K,Blue,41,6,2,2
0,-0.1654055800960331,8942.0,1.6426332288401253,7.616283561580385,0.6647727272727274,M,2,College,Married,60K - 80K,Blue,35,6,3,2
0,0.2088263925653897,2724.0,0.0,8.271804031154709,0.0,M,3,High School,Married,60K - 80K,Blue,39,4,3,2
0,-0.4148935618703149,5775.0,1.1794670846394983,8.266421472984554,0.7386363636363638,M,3,High School,Single,60K - 80K,Blue,30,6,2,4
0,0.2088263925653897,4368.5,1.2766457680250785,8.262558973010657,1.056818181818182,M,4,Graduate,Married,60K - 80K,Blue,43,5,3,3
0,-0.1654055800960331,8305.5,0.0,7.580699752224563,0.0,M,2,College,Married,60K - 80K,Blue,38,4,6,4
0,-0.0406615892088921,3558.0,0.5431034482758621,8.46779284112111,0.5511363636363636,M,2,High School,Married,60K - 80K,Blue,42,3,3,2
0,0.3335703834525306,2789.0,0.0,8.148734808937169,0.0,M,5,High School,Single,60K - 80K,Blue,36,1,2,2
0,-0.7891255345317377,12249.5,1.9725705329153604,8.944680683558895,0.5852272727272727,M,3,Uneducated,Divorced,60K - 80K,Blue,30,2,3,2
0,-0.0406615892088921,2469.5,1.0156739811912223,7.673223121121708,1.4886363636363638,M,2,College,Single,60K - 80K,Blue,36,3,3,2
0,-0.9138695254188788,2380.5,1.2233542319749215,7.623153068476902,1.863636363636364,M,2,Graduate,Married,60K - 80K,Blue,23,5,2,1
1,1.0820343287753762,4205.5,0.7672413793103449,6.897704943128636,0.6590909090909092,M,3,Graduate,Single,60K - 80K,Blue,36,3,2,2
0,1.4562663014367991,7488.0,1.146551724137931,7.377133712833954,0.5568181818181819,M,2,Graduate,Married,60K - 80K,Blue,51,4,2,2
0,-0.6643815436445969,1312.0,1.0336990595611286,8.340217320947035,2.8579545454545454,M,3,Post-Graduate,Married,60K - 80K,Blue,34,4,2,2
0,-0.0406615892088921,2732.0,0.695141065830721,8.490027523343468,0.9204545454545456,M,2,Post-Graduate,Married,60K - 80K,Blue,36,3,2,2
0,-0.0406615892088921,2867.5,1.88871473354232,8.270781013162674,2.386363636363636,M,4,Graduate,Married,60K - 80K,Blue,29,6,3,2
0,-0.4148935618703149,4691.0,1.140282131661442,8.13505390861157,0.8806818181818182,M,3,College,Married,60K - 80K,Blue,33,4,3,4
